"scope","item","status","detail","path"
"figures","health_did_replication figure_4_8_mvpf_stress_test_panelA.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/figure_4_8_mvpf_stress_test_panelA.pdf"
"figures","overleaf figure_4_8_mvpf_stress_test_panelB.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/figure_4_8_mvpf_stress_test_panelB.pdf"
"figures","health_did_replication figure_4_8_mvpf_stress_test_panelB.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/figure_4_8_mvpf_stress_test_panelB.pdf"
"figures","overleaf sensitivity/event_study_sensitivity_210.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/sensitivity/event_study_sensitivity_210.pdf"
"figures","health_did_replication sensitivity/event_study_sensitivity_210.pdf","PASS","must match mapped output/figures file byte-for-byte","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/sensitivity/event_study_sensitivity_210.pdf"
"latex","overleaf Tables/table_3_2_sample_detailed.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Tables/table_3_2_sample_detailed.tex"
"latex","working-paper Tables/table_3_2_sample_detailed.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Tables/table_3_2_sample_detailed.tex"
"latex","overleaf Tables/table_3_selection_balance.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Tables/table_3_selection_balance.tex"
"latex","working-paper Tables/table_3_selection_balance.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Tables/table_3_selection_balance.tex"
"latex","overleaf Tables/table_3_5_covariate_coverage.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Tables/table_3_5_covariate_coverage.tex"
"latex","working-paper Tables/table_3_5_covariate_coverage.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Tables/table_3_5_covariate_coverage.tex"
"latex","overleaf Tables/table_4_1_aggregate_concordance.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Tables/table_4_1_aggregate_concordance.tex"
"latex","working-paper Tables/table_4_1_aggregate_concordance.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Tables/table_4_1_aggregate_concordance.tex"
"latex","overleaf Tables/table_4_2_timing_heterogeneity.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Tables/table_4_2_timing_heterogeneity.tex"
"latex","working-paper Tables/table_4_2_timing_heterogeneity.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Tables/table_4_2_timing_heterogeneity.tex"
"latex","overleaf Tables/table_4_3_bacon_summary.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Tables/table_4_3_bacon_summary.tex"
"latex","working-paper Tables/table_4_3_bacon_summary.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Tables/table_4_3_bacon_summary.tex"
"latex","overleaf Tables/table_4_4_progbin_sensitivity.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Tables/table_4_4_progbin_sensitivity.tex"
"latex","working-paper Tables/table_4_4_progbin_sensitivity.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Tables/table_4_4_progbin_sensitivity.tex"
"latex","overleaf Tables/table_4_5_honestdid.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Tables/table_4_5_honestdid.tex"
"latex","working-paper Tables/table_4_5_honestdid.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Tables/table_4_5_honestdid.tex"
"latex","overleaf Tables/table_4_6_aggte_comparison.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Tables/table_4_6_aggte_comparison.tex"
"latex","working-paper Tables/table_4_6_aggte_comparison.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Tables/table_4_6_aggte_comparison.tex"
"latex","overleaf Tables/table_4_8_mvpf_stress_test.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Tables/table_4_8_mvpf_stress_test.tex"
"latex","working-paper Tables/table_4_8_mvpf_stress_test.tex","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Tables/table_4_8_mvpf_stress_test.tex"
"latex","overleaf Figures/agregado/variacao_pct_dynamic.pdf","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/agregado/variacao_pct_dynamic.pdf"
"latex","working-paper Figures/agregado/variacao_pct_dynamic.pdf","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/agregado/variacao_pct_dynamic.pdf"
"latex","overleaf Figures/agregado/agregado_dynamic_v3.pdf","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/agregado/agregado_dynamic_v3.pdf"
"latex","working-paper Figures/agregado/agregado_dynamic_v3.pdf","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/agregado/agregado_dynamic_v3.pdf"
"latex","overleaf Figures/bacon/figure_4_X_bacon_dcdh_maclean.pdf","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/bacon/figure_4_X_bacon_dcdh_maclean.pdf"
"latex","working-paper Figures/bacon/figure_4_X_bacon_dcdh_maclean.pdf","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/bacon/figure_4_X_bacon_dcdh_maclean.pdf"
"latex","overleaf Figures/event_study/id_228_event_study.pdf","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/event_study/id_228_event_study.pdf"
"latex","working-paper Figures/event_study/id_228_event_study.pdf","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/event_study/id_228_event_study.pdf"
"latex","overleaf Figures/event_study/id_79_event_study.pdf","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/overleaf/Figures/event_study/id_79_event_study.pdf"
"latex","working-paper Figures/event_study/id_79_event_study.pdf","PASS","exists","C:/Users/victo/OneDrive/Pesquisas/replication_analysis/Replication Package/health_did_replication/Figures/event_study/id_79_event_study.pdf"
