"T","G","weight","cohort_raw","cohort_year","cohort_lab"
183,6,0.000533297009029314,121,2014,"Cohort 2014"
184,6,0.000265930851012192,121,2014,"Cohort 2014"
185,6,0.0010876898525132,121,2014,"Cohort 2014"
186,6,0.000528627571394706,121,2014,"Cohort 2014"
187,6,0.0007413279015436,121,2014,"Cohort 2014"
188,6,0.000264466571035342,121,2014,"Cohort 2014"
189,6,0.000259041237426847,121,2014,"Cohort 2014"
190,6,0.00106466245945583,121,2014,"Cohort 2014"
191,6,0.000758261932579264,121,2014,"Cohort 2014"
192,6,0.000266723333382919,121,2014,"Cohort 2014"
193,6,0.000225567599768449,121,2014,"Cohort 2014"
194,6,0.000478156471064958,121,2014,"Cohort 2014"
195,6,0.000431921538493967,121,2014,"Cohort 2014"
196,6,0.000231195644994727,121,2014,"Cohort 2014"
197,6,0.000658298124973061,121,2014,"Cohort 2014"
198,6,0.00071129660880927,121,2014,"Cohort 2014"
199,6,0.00139946553267574,121,2014,"Cohort 2014"
200,6,0.000914105261692128,121,2014,"Cohort 2014"
201,6,0.00132303497457255,121,2014,"Cohort 2014"
202,6,0.000205102563575602,121,2014,"Cohort 2014"
203,6,0.000453620286068375,121,2014,"Cohort 2014"
204,6,0.000841577357571897,121,2014,"Cohort 2014"
205,6,0.00109373243595328,121,2014,"Cohort 2014"
206,6,0.00105744691946079,121,2014,"Cohort 2014"
207,6,0.000631156472136536,121,2014,"Cohort 2014"
208,6,0.00046106928982352,121,2014,"Cohort 2014"
209,6,0.000409085342842147,121,2014,"Cohort 2014"
210,6,0.000641096404009552,121,2014,"Cohort 2014"
211,6,0.000443154096189961,121,2014,"Cohort 2014"
212,6,0.000200457276863005,121,2014,"Cohort 2014"
213,6,0.000661826510452885,121,2014,"Cohort 2014"
214,6,0.000707707611227766,121,2014,"Cohort 2014"
215,6,0.000441619255762858,121,2014,"Cohort 2014"
216,6,0.000415958642753298,121,2014,"Cohort 2014"
217,6,0.000224808282421062,121,2014,"Cohort 2014"
218,6,0.000625931007015763,121,2014,"Cohort 2014"
219,6,0.000625232121063815,121,2014,"Cohort 2014"
220,6,0.000218832782021847,121,2014,"Cohort 2014"
221,6,0.000421074029721767,121,2014,"Cohort 2014"
222,6,0.000441566906932106,121,2014,"Cohort 2014"
223,6,0.000416761777651479,121,2014,"Cohort 2014"
224,6,0.000422029349723896,121,2014,"Cohort 2014"
225,6,0.00152693459533862,121,2014,"Cohort 2014"
226,6,0.000870396937009612,121,2014,"Cohort 2014"
227,6,0.000415488186862,121,2014,"Cohort 2014"
228,6,0.000564116049351039,121,2014,"Cohort 2014"
229,6,0.000199560118462143,121,2014,"Cohort 2014"
230,6,0.000412690760836332,121,2014,"Cohort 2014"
231,6,0.00111745656667398,121,2014,"Cohort 2014"
232,6,0.000377420589619521,121,2014,"Cohort 2014"
234,6,0.000370137967624085,121,2014,"Cohort 2014"
235,6,0.000350886678637657,121,2014,"Cohort 2014"
236,6,0.000645484160204232,121,2014,"Cohort 2014"
238,6,0.00019758318334292,121,2014,"Cohort 2014"
194,17,0.00176231767051686,194,2020,"Cohort 2020"
195,17,0.000329346067817877,194,2020,"Cohort 2020"
196,17,0.00137832377426248,194,2020,"Cohort 2020"
197,17,0.00232972604826673,194,2020,"Cohort 2020"
198,17,0.00105145250452195,194,2020,"Cohort 2020"
199,17,0.0013865182160674,194,2020,"Cohort 2020"
200,17,0.00239338129795748,194,2020,"Cohort 2020"
201,17,0.00100167338299895,194,2020,"Cohort 2020"
202,17,0.00286639075931847,194,2020,"Cohort 2020"
203,17,0.000340195441605082,194,2020,"Cohort 2020"
204,17,0.00226645746574708,194,2020,"Cohort 2020"
205,17,0.0013285271430462,194,2020,"Cohort 2020"
206,17,0.000324874682463053,194,2020,"Cohort 2020"
207,17,0.000971312367849218,194,2020,"Cohort 2020"
208,17,0.00171959971741327,194,2020,"Cohort 2020"
209,17,0.000953783909975903,194,2020,"Cohort 2020"
210,17,0.000327084099907411,194,2020,"Cohort 2020"
211,17,0.00301466111999287,194,2020,"Cohort 2020"
212,17,0.00125537030173559,194,2020,"Cohort 2020"
213,17,0.000333994135388522,194,2020,"Cohort 2020"
214,17,0.00139715134258726,194,2020,"Cohort 2020"
